Date,Case,County
16/03/2020,≤5,Carlow
17/03/2020,N/A,Carlow
18/03/2020,N/A,Carlow
19/03/2020,N/A,Carlow
20/03/2020,N/A,Carlow
21/03/2020,N/A,Carlow
22/03/2020,N/A,Carlow
23/03/2020,N/A,Carlow
24/03/2020,N/A,Carlow
25/03/2020,N/A,Carlow
26/03/2020,N/A,Carlow
27/03/2020,N/A,Carlow
28/03/2020,N/A,Carlow
29/03/2020,N/A,Carlow
30/03/2020,N/A,Carlow
31/03/2020,N/A,Carlow
01/04/2020,N/A,Carlow
02/04/2020,6,Carlow
03/04/2020,6,Carlow
04/04/2020,0,Carlow
05/04/2020,0,Carlow
06/04/2020,3,Carlow
07/04/2020,1,Carlow
08/04/2020,3,Carlow
09/04/2020,3,Carlow
10/04/2020,10,Carlow
11/04/2020,6,Carlow
12/04/2020,6,Carlow
13/04/2020,9,Carlow
14/04/2020,6,Carlow
15/04/2020,0,Carlow
16/04/2020,10,Carlow
17/04/2020,2,Carlow
18/04/2020,7,Carlow
19/04/2020,1,Carlow
20/04/2020,1,Carlow
21/04/2020,4,Carlow
22/04/2020,2,Carlow
23/04/2020,2,Carlow
24/04/2020,3,Carlow
25/04/2020,1,Carlow
26/04/2020,1,Carlow
27/04/2020,2,Carlow
28/04/2020,0,Carlow
29/04/2020,5,Carlow
30/04/2020,0,Carlow
01/05/2020,26,Carlow
02/05/2020,1,Carlow
03/05/2020,0,Carlow
04/05/2020,5,Carlow
05/05/2020,0,Carlow
06/05/2020,1,Carlow
07/05/2020,3,Carlow
08/05/2020,3,Carlow
09/05/2020,2,Carlow
10/05/2020,0,Carlow
11/05/2020,2,Carlow
12/05/2020,0,Carlow
13/05/2020,1,Carlow
14/05/2020,0,Carlow
15/05/2020,2,Carlow
16/05/2020,1,Carlow
17/05/2020,1,Carlow
18/05/2020,1,Carlow
19/05/2020,1,Carlow
20/05/2020,1,Carlow
21/05/2020,0,Carlow
22/05/2020,1,Carlow
23/05/2020,0,Carlow
24/05/2020,0,Carlow
25/05/2020,0,Carlow
26/05/2020,2,Carlow
27/05/2020,1,Carlow
28/05/2020,3,Carlow
29/05/2020,8,Carlow
30/05/2020,0,Carlow
31/05/2020,0,Carlow
01/06/2020,0,Carlow
02/06/2020,3,Carlow
03/06/2020,0,Carlow
04/06/2020,-1,Carlow
05/06/2020,0,Carlow
06/06/2020,0,Carlow
07/06/2020,-1,Carlow
08/06/2020,1,Carlow
09/06/2020,0,Carlow
10/06/2020,0,Carlow
11/06/2020,0,Carlow
12/06/2020,3,Carlow
13/06/2020,0,Carlow
14/06/2020,0,Carlow
15/06/2020,0,Carlow
16/06/2020,0,Carlow
17/06/2020,2,Carlow
18/06/2020,0,Carlow
19/06/2020,1,Carlow
20/06/2020,0,Carlow
21/06/2020,1,Carlow
22/06/2020,0,Carlow
23/06/2020,0,Carlow
24/06/2020,0,Carlow
27/06/2020,0,Carlow
28/06/2020,0,Carlow
29/06/2020,0,Carlow
30/06/2020,0,Carlow
01/07/2020,0,Carlow
04/07/2020,0,Carlow
05/07/2020,0,Carlow
06/07/2020,0,Carlow
07/07/2020,0,Carlow
08/07/2020,0,Carlow
09/07/2020,1,Carlow
10/07/2020,0,Carlow
11/07/2020,0,Carlow
12/07/2020,0,Carlow
13/07/2020,0,Carlow
14/07/2020,0,Carlow
15/07/2020,1,Carlow
16/07/2020,1,Carlow
17/07/2020,0,Carlow
18/07/2020,0,Carlow
19/07/2020,0,Carlow
20/07/2020,1,Carlow
21/07/2020,0,Carlow
22/07/2020,0,Carlow
23/07/2020,0,Carlow
24/07/2020,0,Carlow
25/07/2020,0,Carlow
26/07/2020,0,Carlow
27/07/2020,0,Carlow
28/07/2020,0,Carlow
29/07/2020,0,Carlow
30/07/2020,0,Carlow
31/07/2020,0,Carlow
01/08/2020,0,Carlow
02/08/2020,0,Carlow
03/08/2020,0,Carlow
04/08/2020,1,Carlow
05/08/2020,0,Carlow
06/08/2020,1,Carlow
07/08/2020,4,Carlow
08/08/2020,0,Carlow
09/08/2020,0,Carlow
10/08/2020,6,Carlow
11/08/2020,0,Carlow
12/08/2020,6,Carlow
13/08/2020,3,Carlow
14/08/2020,4,Carlow
15/08/2020,0,Carlow
16/08/2020,0,Carlow
17/08/2020,4,Carlow
18/08/2020,2,Carlow
19/08/2020,6,Carlow
20/08/2020,0,Carlow
21/08/2020,4,Carlow
22/08/2020,0,Carlow
23/08/2020,1,Carlow
24/08/2020,2,Carlow
25/08/2020,13,Carlow
26/08/2020,3,Carlow
27/08/2020,4,Carlow
28/08/2020,1,Carlow
29/08/2020,2,Carlow
30/08/2020,0,Carlow
31/08/2020,1,Carlow
01/09/2020,2,Carlow
02/09/2020,2,Carlow
03/09/2020,2,Carlow
04/09/2020,1,Carlow
05/09/2020,1,Carlow
06/09/2020,0,Carlow
07/09/2020,0,Carlow
08/09/2020,0,Carlow
09/09/2020,0,Carlow
10/09/2020,1,Carlow
11/09/2020,1,Carlow
12/09/2020,1,Carlow
13/09/2020,1,Carlow
14/09/2020,4,Carlow
15/09/2020,8,Carlow
16/09/2020,1,Carlow
17/09/2020,0,Carlow
18/09/2020,2,Carlow
19/09/2020,1,Carlow
20/09/2020,1,Carlow
21/09/2020,1,Carlow
22/09/2020,1,Carlow
23/09/2020,1,Carlow
24/09/2020,2,Carlow
25/09/2020,0,Carlow
26/09/2020,0,Carlow
27/09/2020,0,Carlow
28/09/2020,4,Carlow
29/09/2020,1,Carlow
16/03/2020,≤5,Cavan
17/03/2020,N/A,Cavan
18/03/2020,N/A,Cavan
19/03/2020,N/A,Cavan
20/03/2020,N/A,Cavan
21/03/2020,N/A,Cavan
22/03/2020,N/A,Cavan
23/03/2020,N/A,Cavan
24/03/2020,6,Cavan
25/03/2020,3,Cavan
26/03/2020,2,Cavan
27/03/2020,8,Cavan
28/03/2020,5,Cavan
29/03/2020,0,Cavan
30/03/2020,12,Cavan
31/03/2020,3,Cavan
01/04/2020,2,Cavan
02/04/2020,26,Cavan
03/04/2020,9,Cavan
04/04/2020,39,Cavan
05/04/2020,8,Cavan
06/04/2020,6,Cavan
07/04/2020,3,Cavan
08/04/2020,19,Cavan
09/04/2020,18,Cavan
10/04/2020,41,Cavan
11/04/2020,12,Cavan
12/04/2020,23,Cavan
13/04/2020,9,Cavan
14/04/2020,56,Cavan
15/04/2020,35,Cavan
16/04/2020,8,Cavan
17/04/2020,33,Cavan
18/04/2020,15,Cavan
19/04/2020,2,Cavan
20/04/2020,27,Cavan
21/04/2020,36,Cavan
22/04/2020,40,Cavan
23/04/2020,30,Cavan
24/04/2020,38,Cavan
25/04/2020,35,Cavan
26/04/2020,18,Cavan
27/04/2020,7,Cavan
28/04/2020,0,Cavan
29/04/2020,10,Cavan
30/04/2020,12,Cavan
01/05/2020,17,Cavan
02/05/2020,9,Cavan
03/05/2020,12,Cavan
04/05/2020,15,Cavan
05/05/2020,1,Cavan
06/05/2020,20,Cavan
07/05/2020,18,Cavan
08/05/2020,4,Cavan
09/05/2020,1,Cavan
10/05/2020,4,Cavan
11/05/2020,8,Cavan
12/05/2020,2,Cavan
13/05/2020,7,Cavan
14/05/2020,2,Cavan
15/05/2020,5,Cavan
16/05/2020,7,Cavan
17/05/2020,12,Cavan
18/05/2020,2,Cavan
19/05/2020,2,Cavan
20/05/2020,0,Cavan
21/05/2020,11,Cavan
22/05/2020,9,Cavan
23/05/2020,1,Cavan
24/05/2020,2,Cavan
25/05/2020,2,Cavan
26/05/2020,4,Cavan
27/05/2020,0,Cavan
28/05/2020,0,Cavan
29/05/2020,1,Cavan
30/05/2020,5,Cavan
31/05/2020,5,Cavan
01/06/2020,0,Cavan
02/06/2020,2,Cavan
03/06/2020,8,Cavan
04/06/2020,4,Cavan
05/06/2020,0,Cavan
06/06/2020,0,Cavan
07/06/2020,0,Cavan
08/06/2020,0,Cavan
09/06/2020,0,Cavan
10/06/2020,1,Cavan
11/06/2020,1,Cavan
12/06/2020,0,Cavan
13/06/2020,0,Cavan
14/06/2020,-1,Cavan
15/06/2020,0,Cavan
16/06/2020,1,Cavan
17/06/2020,0,Cavan
18/06/2020,0,Cavan
19/06/2020,2,Cavan
20/06/2020,0,Cavan
21/06/2020,-1,Cavan
22/06/2020,0,Cavan
23/06/2020,1,Cavan
24/06/2020,0,Cavan
27/06/2020,0,Cavan
28/06/2020,0,Cavan
29/06/2020,0,Cavan
30/06/2020,0,Cavan
01/07/2020,0,Cavan
04/07/2020,2,Cavan
05/07/2020,0,Cavan
06/07/2020,0,Cavan
07/07/2020,1,Cavan
08/07/2020,0,Cavan
09/07/2020,0,Cavan
10/07/2020,1,Cavan
11/07/2020,-1,Cavan
12/07/2020,0,Cavan
13/07/2020,0,Cavan
14/07/2020,1,Cavan
15/07/2020,0,Cavan
16/07/2020,1,Cavan
17/07/2020,0,Cavan
18/07/2020,0,Cavan
19/07/2020,0,Cavan
20/07/2020,0,Cavan
21/07/2020,0,Cavan
22/07/2020,0,Cavan
23/07/2020,0,Cavan
24/07/2020,0,Cavan
25/07/2020,0,Cavan
26/07/2020,0,Cavan
27/07/2020,1,Cavan
28/07/2020,0,Cavan
29/07/2020,2,Cavan
30/07/2020,0,Cavan
31/07/2020,6,Cavan
01/08/2020,0,Cavan
02/08/2020,0,Cavan
03/08/2020,2,Cavan
04/08/2020,0,Cavan
05/08/2020,0,Cavan
06/08/2020,2,Cavan
07/08/2020,1,Cavan
08/08/2020,0,Cavan
09/08/2020,0,Cavan
10/08/2020,1,Cavan
11/08/2020,0,Cavan
12/08/2020,0,Cavan
13/08/2020,0,Cavan
14/08/2020,0,Cavan
15/08/2020,0,Cavan
16/08/2020,0,Cavan
17/08/2020,0,Cavan
18/08/2020,0,Cavan
19/08/2020,1,Cavan
20/08/2020,0,Cavan
21/08/2020,0,Cavan
22/08/2020,0,Cavan
23/08/2020,0,Cavan
24/08/2020,3,Cavan
25/08/2020,0,Cavan
26/08/2020,4,Cavan
27/08/2020,2,Cavan
28/08/2020,0,Cavan
29/08/2020,0,Cavan
30/08/2020,0,Cavan
31/08/2020,3,Cavan
01/09/2020,0,Cavan
02/09/2020,0,Cavan
03/09/2020,0,Cavan
04/09/2020,5,Cavan
05/09/2020,0,Cavan
06/09/2020,1,Cavan
07/09/2020,1,Cavan
08/09/2020,0,Cavan
09/09/2020,1,Cavan
10/09/2020,0,Cavan
11/09/2020,1,Cavan
12/09/2020,0,Cavan
13/09/2020,1,Cavan
14/09/2020,5,Cavan
15/09/2020,0,Cavan
16/09/2020,2,Cavan
17/09/2020,0,Cavan
18/09/2020,4,Cavan
19/09/2020,2,Cavan
20/09/2020,1,Cavan
21/09/2020,0,Cavan
22/09/2020,0,Cavan
23/09/2020,8,Cavan
24/09/2020,4,Cavan
25/09/2020,1,Cavan
26/09/2020,9,Cavan
27/09/2020,3,Cavan
28/09/2020,2,Cavan
29/09/2020,7,Cavan
16/03/2020,≤5,Clare
17/03/2020,N/A,Clare
18/03/2020,7,Clare
19/03/2020,0,Clare
20/03/2020,0,Clare
21/03/2020,2,Clare
22/03/2020,2,Clare
23/03/2020,1,Clare
24/03/2020,13,Clare
25/03/2020,1,Clare
26/03/2020,5,Clare
27/03/2020,3,Clare
28/03/2020,0,Clare
29/03/2020,6,Clare
30/03/2020,5,Clare
31/03/2020,4,Clare
01/04/2020,1,Clare
02/04/2020,4,Clare
03/04/2020,0,Clare
04/04/2020,6,Clare
05/04/2020,5,Clare
06/04/2020,1,Clare
07/04/2020,2,Clare
08/04/2020,1,Clare
09/04/2020,16,Clare
10/04/2020,3,Clare
11/04/2020,10,Clare
