Date,Cases Reported,Deaths Reported
29/02/2020,1,0
01/03/2020,0,0
02/03/2020,0,0
03/03/2020,1,0
04/03/2020,4,0
05/03/2020,7,0
06/03/2020,5,0
07/03/2020,1,0
08/03/2020,2,0
09/03/2020,3,0
10/03/2020,9,0
11/03/2020,10,1
12/03/2020,27,0
13/03/2020,20,0
14/03/2020,39,1
15/03/2020,40,0
16/03/2020,54,0
17/03/2020,69,0
18/03/2020,74,0
19/03/2020,191,1
20/03/2020,126,0
21/03/2020,102,0
22/03/2020,121,1
23/03/2020,219,2
24/03/2020,204,1
25/03/2020,235,2
26/03/2020,255,10
27/03/2020,302,3
28/03/2020,294,14
29/03/2020,200,10
30/03/2020,295,8
31/03/2020,325,17
01/04/2020,212,14
02/04/2020,402,13
03/04/2020,424,22
04/04/2020,331,17
05/04/2020,390,21
06/04/2020,370,16
07/04/2020,345,36
08/04/2020,365,25
09/04/2020,500,28
10/04/2020,1515,24
11/04/2020,839,33
12/04/2020,727,14
13/04/2020,992,31
14/04/2020,832,41
15/04/2020,1068,38
16/04/2020,724,42
17/04/2020,709,44
18/04/2020,778,41
19/04/2020,610,39
20/04/2020,401,77
21/04/2020,388,43
22/04/2020,631,49
23/04/2020,936,28
24/04/2020,577,222
25/04/2020,377,52
26/04/2020,701,26
27/04/2020,386,18
28/04/2020,229,59
29/04/2020,376,31
30/04/2020,359,43
01/05/2020,221,34
02/05/2020,343,25
03/05/2020,330,19
04/05/2020,266,16
05/05/2020,211,23
06/05/2020,265,37
07/05/2020,137,28
08/05/2020,156,26
09/05/2020,219,17
10/05/2020,236,12
11/05/2020,139,9
12/05/2020,107,21
13/05/2020,159,12
14/05/2020,426,9
15/05/2020,129,16
16/05/2020,92,15
17/05/2020,64,10
18/05/2020,88,4
19/05/2020,64,14
20/05/2020,51,11
21/05/2020,76,12
22/05/2020,115,9
23/05/2020,76,12
24/05/2020,57,4
25/05/2020,59,0
26/05/2020,37,9
27/05/2020,68,16
28/05/2020,38,8
29/05/2020,35,6
30/05/2020,53,6
31/05/2020,66,2
01/06/2020,77,1
02/06/2020,10,8
03/06/2020,47,3
04/06/2020,38,5
05/06/2020,28,7
06/06/2020,20,8
07/06/2020,18,1
08/06/2020,9,4
09/06/2020,9,9
10/06/2020,16,4
